date,vehicle_class,percent_of_normal_volume,version
2020-09-06,Passenger,65.46,1.0
2020-09-06,MPV,117.55,1.0
2020-09-06,MDT,120.82,1.0
2020-09-06,HDT,102.10999999999999,1.0
2020-09-11,Passenger,88.660000000000011,1.0
2020-09-11,HDT,120.27000000000001,1.0
2020-09-11,Bus,79.53,1.0
2020-09-11,MPV,119,1.0
2020-09-11,LDT,158.94,1.0
2020-09-11,MDT,132.14,1.0
2020-06-02,Passenger,84.07,1.0
2020-06-02,Bus,20.46,1.0
2020-06-02,LDT,154.98000000000002,1.0
2020-06-02,HDT,109.26,1.0
2020-06-02,MPV,103.03,1.0
2020-06-02,MDT,125.88999999999999,1.0
2020-07-25,LDT,172.48000000000002,1.0
2020-07-25,MPV,117.44000000000001,1.0
2020-07-25,Bus,55.069999999999993,1.0
2020-07-25,MDT,126.53000000000002,1.0
2020-07-25,Passenger,76.18,1.0
2020-07-25,HDT,106.58000000000001,1.0
2020-08-11,HDT,110.16,1.0
2020-08-11,LDT,157.20000000000002,1.0
2020-08-11,Passenger,91.86,1.0
2020-08-11,Bus,26.76,1.0
2020-08-11,MPV,110.49,1.0
2020-08-11,MDT,126.22,1.0
2020-05-01,LDT,132.6,1.0
2020-05-01,Passenger,66.52,1.0
2020-05-01,MPV,89.710000000000008,1.0
2020-05-01,Bus,16.17,1.0
2020-05-01,MDT,108.02000000000001,1.0
2020-05-01,HDT,97.37,1.0
2020-06-22,Passenger,84.52,1.0
2020-06-22,MDT,122.85999999999999,1.0
2020-06-22,HDT,108.33,1.0
2020-06-22,Bus,22.16,1.0
2020-06-22,LDT,155.55,1.0
2020-06-22,MPV,104.74000000000001,1.0
2020-06-09,Passenger,88.32,1.0
2020-06-09,Bus,20.18,1.0
2020-06-09,LDT,156.68,1.0
2020-06-09,MPV,106.56000000000002,1.0
2020-06-09,MDT,121.92,1.0
2020-06-09,HDT,107.61,1.0
2020-04-20,LDT,101.8,1.0
2020-04-20,MPV,74.31,1.0
2020-04-20,MDT,94.92,1.0
2020-04-20,HDT,100.36,1.0
2020-04-20,Passenger,59.07,1.0
2020-04-20,Bus,12.36,1.0
2020-07-18,Bus,53.949999999999996,1.0
2020-07-18,LDT,171.59,1.0
2020-07-18,Passenger,76.23,1.0
2020-07-18,HDT,104.92999999999999,1.0
2020-07-18,MDT,124.51,1.0
2020-07-18,MPV,116.95,1.0
2020-08-06,MDT,128.1,1.0
2020-08-06,LDT,159.91,1.0
2020-08-06,Passenger,88.460000000000008,1.0
2020-08-06,Bus,28.09,1.0
2020-08-06,MPV,111.14,1.0
2020-08-06,HDT,116.19999999999999,1.0
2020-05-08,MPV,94.42,1.0
2020-05-08,Passenger,71.19,1.0
2020-05-08,MDT,111.28,1.0
2020-05-08,HDT,102.01,1.0
2020-05-08,Bus,18.15,1.0
2020-05-08,LDT,139.91,1.0
2020-08-29,MDT,141.13,1.0
2020-08-29,Passenger,80.92,1.0
2020-08-29,MPV,121.29,1.0
2020-08-29,Bus,68.28,1.0
2020-08-29,HDT,121.28000000000002,1.0
2020-08-29,LDT,175.75,1.0
2020-09-16,Bus,70.02000000000001,1.0
2020-09-16,HDT,116.82999999999998,1.0
2020-09-16,LDT,159.35,1.0
2020-09-16,MDT,130.97,1.0
2020-09-16,MPV,117.96,1.0
2020-08-24,HDT,115.56,1.0
2020-08-24,MPV,112.58999999999999,1.0
2020-08-24,MDT,130.28,1.0
2020-08-24,Passenger,88,1.0
2020-08-24,Bus,34.17,1.0
2020-08-24,LDT,160.15,1.0
2020-03-27,MDT,97.289999999999992,1.0
2020-03-27,LDT,92.65,1.0
2020-03-27,Passenger,62.9,1.0
2020-03-27,HDT,99.56,1.0
2020-03-27,MPV,72.17,1.0
2020-03-27,Bus,16.14,1.0
2020-07-22,MDT,125.28999999999999,1.0
2020-07-22,MPV,110.99000000000001,1.0
2020-07-22,HDT,109.82000000000001,1.0
2020-07-22,Bus,23.71,1.0
2020-07-22,LDT,160.10999999999999,1.0
2020-07-22,Passenger,87.17,1.0
2020-08-09,Bus,65.63,1.0
2020-08-09,MPV,121.26999999999998,1.0
2020-08-09,Passenger,67.61,1.0
2020-08-09,MDT,129.81,1.0
2020-08-09,LDT,180.22,1.0
2020-08-09,HDT,109.14999999999999,1.0
2020-04-14,LDT,97.91,1.0
2020-04-14,MDT,89.74,1.0
2020-04-14,MPV,72.7,1.0
2020-04-14,Passenger,59.45,1.0
2020-04-14,HDT,96.6,1.0
2020-04-14,Bus,14.29,1.0
2020-03-25,Passenger,62.81,1.0
2020-03-25,Bus,16.64,1.0
2020-03-25,HDT,99.339999999999989,1.0
2020-03-25,MDT,97.53,1.0
2020-03-25,MPV,70.36,1.0
2020-03-25,LDT,94.06,1.0
2020-05-29,Bus,19.64,1.0
2020-05-29,HDT,110.02000000000001,1.0
2020-05-29,MDT,126.13000000000001,1.0
2020-05-29,LDT,153.32,1.0
2020-05-29,MPV,103.27,1.0
2020-05-29,Passenger,81.01,1.0
2020-08-23,MDT,135.4,1.0
2020-08-23,Bus,75.06,1.0
2020-08-23,HDT,113.79999999999998,1.0
2020-08-23,LDT,180.13,1.0
2020-08-23,MPV,118.5,1.0
2020-08-23,Passenger,68.53,1.0
2020-04-10,Passenger,51.32,1.0
2020-04-10,LDT,75.929999999999993,1.0
2020-04-10,MDT,73.3,1.0
2020-04-10,Bus,11.15,1.0
